id,POA_CODE_2016,postcode,region,SSC_CODE_2016,SSC_NAME_2016,state,Dwellings,Population,AREA_SQKM,MB_COUNT,suburb,Town Postcode combo,POA crosses state border,long,lat,regionName,brandName,serviceName
location:2478:coolgardie,2478,2478,northcoast,11031,Coolgardie (NSW),New South Wales,45,124,6.8524,1,Coolgardie,Coolgardie 2478,,153.4622233,-28.9159222,North Coast ,ABC North Coast ,local_northcoast
location:6429:coolgardie,6429,6429,goldfields,50326,Coolgardie (WA),Western Australia,454,882,124.9813,29,Coolgardie,Coolgardie 6429,,121.1534571,-30.94827032,Goldfields,ABC Goldfields,local_goldfields
location:5670:coolillie,5670,5670,eyre,40296,Coolillie,South Australia,5,6,234.148,1,Coolillie,Coolillie 5670,,135.2391738,-33.45120527,Eyre Peninsula ,ABC Eyre Peninsula ,local_eyre
location:6507:cooljarloo,6507,6507,wheatbelt,50327,Cooljarloo,Western Australia,3,4,670.869,4,Cooljarloo,Cooljarloo 6507,,115.373176,-30.66863516,Mid West & Wheatbelt ,ABC Mid West & Wheatbelt ,local_wheatbelt
location:4387:coolmunda,4387,4387,southqld,30687,Coolmunda,Queensland,75,137,238.2548,4,Coolmunda,Coolmunda 4387,,151.2097671,-28.43618858,Southern Queensland,ABC Southern Queensland,local_southqld
location:2312:coolongolook,2312,2312,newcastle,11032,Coolongolook,New South Wales,0,0,1.0525,2,Coolongolook,Coolongolook 2312,,152.3227461,-32.22295653,Newcastle,ABC Newcastle,local_newcastle
location:2423:coolongolook,2423,2423,newcastle,11032,Coolongolook,New South Wales,196,391,139.4963,25,Coolongolook,Coolongolook 2423,,152.3227461,-32.22295653,Newcastle,ABC Newcastle,local_newcastle
location:4580:cooloola,4580,4580,widebay,30688,Cooloola,Queensland,19,3,459.0132,3,Cooloola,Cooloola 4580,,153.0353397,-26.04105087,Wide Bay,ABC Wide Bay,local_widebay
location:4580:cooloola-cove,4580,4580,widebay,30689,Cooloola Cove,Queensland,1395,2651,13.5329,77,Cooloola Cove,Cooloola Cove 4580,,153.001256,-25.96852203,Wide Bay,ABC Wide Bay,local_widebay
location:4560:cooloolabin,4560,4560,sunshine,30690,Cooloolabin,Queensland,108,251,34.1588,8,Cooloolabin,Cooloolabin 4560,,152.8996774,-26.53779699,Sunshine Coast,ABC Sunshine Coast,local_sunshine
