id,POA_CODE_2016,postcode,region,SSC_CODE_2016,SSC_NAME_2016,state,Dwellings,Population,AREA_SQKM,MB_COUNT,suburb,Town Postcode combo,POA crosses state border,long,lat,regionName,brandName,serviceName
location:2646:coreen,2646,2646,riverina,11072,Coreen,New South Wales,47,106,349.5517,6,Coreen,Coreen 2646,,146.3245039,-35.74150833,Goulburn-Murray,ABC Goulburn-Murray,local_goulburnmurray
location:4570:corella,4570,4570,widebay,30726,Corella,Queensland,28,73,13.6621,2,Corella,Corella 4570,,152.6457397,-26.10846922,Wide Bay,ABC Wide Bay,local_widebay
location:4733:corfield,4733,4733,westqld,30727,Corfield,Queensland,142,188,15789.001,4,Corfield,Corfield 4733,,143.3349442,-22.03875865,Western Queensland ,ABC Western Queensland ,local_westqld
location:4075:corinda,4075,4075,brisbane,30728,Corinda,Queensland,2022,5042,3.0302,75,Corinda,Corinda 4075,,152.9821441,-27.54380578,Brisbane,ABC Radio Brisbane,local_brisbane
location:3352:corindhap,3352,3352,ballarat,20634,Corindhap,Victoria,63,134,31.6298,5,Corindhap,Corindhap 3352,,143.7540022,-37.8676818,Ballarat,ABC Ballarat,local_ballarat
location:2456:corindi-beach,2456,2456,coffscoast,11073,Corindi Beach,New South Wales,711,1688,24.2515,29,Corindi Beach,Corindi Beach 2456,,153.1804597,-30.01553931,Coffs Coast,ABC Coffs Coast,local_coffscoast
location:2871:corinella,2871,2871,centralwest,11074,Corinella (NSW),New South Wales,32,77,482.2042,4,Corinella,Corinella 2871,,147.529773,-33.52641946,Central West,ABC Central West,local_centralwest
location:3984:corinella,3984,3984,gippsland,20635,Corinella (Vic.),Victoria,522,801,16.7902,32,Corinella,Corinella 3984,,145.4674981,-38.4231474,Gippsland,ABC Gippsland,local_gippsland
location:4621:coringa,4621,4621,widebay,30729,Coringa,Queensland,33,84,130.8331,2,Coringa,Coringa 4621,,151.9506669,-25.36708158,Wide Bay,ABC Wide Bay,local_widebay
location:6426:corinthia,6426,6426,greatsouthern,50338,Corinthia,Western Australia,3,7,414.9595,2,Corinthia,Corinthia 6426,,119.1404848,-31.12511736,Great Southern,ABC Great Southern,local_greatsouthern
location:3214:corio,3214,3214,melbourne,20636,Corio,Victoria,6205,15313,19.7904,208,Corio,Corio 3214,,144.3749322,-38.06721825,Melbourne,ABC Radio Melbourne,local_melbourne
location:2315:corlette,2315,2315,newcastle,11075,Corlette,New South Wales,2482,5331,3.0587,106,Corlette,Corlette 2315,,152.1139366,-32.72406577,Newcastle,ABC Newcastle,local_newcastle
location:2480:corndale,2480,2480,northcoast,11076,Corndale (NSW),New South Wales,147,321,23.5361,5,Corndale,Corndale 2480,,153.3633091,-28.70592407,North Coast ,ABC North Coast ,local_northcoast
location:3311:corndale,3311,3311,wimmera,20637,Corndale (Vic.),Victoria,13,33,144.3137,2,Corndale,Corndale 3311,,141.2546793,-37.54082033,Wimmera ,ABC Wimmera ,local_westernvic
location:4610:corndale,4610,4610,widebay,30730,Corndale (Qld),Queensland,24,42,34.2077,1,Corndale,Corndale 4610,,151.8793933,-26.44366034,Wide Bay,ABC Wide Bay,local_widebay
location:3551:cornella,3551,3551,centralvic,20638,Cornella,Victoria,42,43,74.6561,3,Cornella,Cornella 3551,,144.7717885,-36.67896577,Central Victoria,ABC Central Victoria,local_centralvic
location:2790:corney-town,2790,2790,centralwest,11077,Corney Town,New South Wales,38,75,0.3822,2,Corney Town,Corney Town 2790,,150.1775293,-33.4755345,Central West,ABC Central West,local_centralwest
